year, month, day, latitude, longitude, temperature, wind_speed, wind_direction
2007, 01, 01, -0.57, 17.24, 23, 1, 300
2007, 01, 08, -0.57, 17.24, 25, 1, 210
2007, 01, 15, -0.57, 17.24, 25, 1, 320
2007, 01, 22, -0.57, 17.24, 26, 2, 290
2007, 01, 29, -0.57, 17.24, 27, 1, 155
2007, 02, 05, -0.57, 17.24, 26, 1, 270
2007, 02, 12, -0.57, 17.24, 25, 1, 200
2007, 02, 19, -0.57, 17.24, 26, 1, 160
2007, 02, 26, -0.57, 17.24, 24, 1, 30
2007, 03, 05, -0.57, 17.24, 26, 1, 180
2007, 03, 06, -0.55, 17.29, 26, 3, 140
2007, 03, 07, -0.33, 17.37, 24, 3, 220
2007, 03, 08, 2.90, 18.15, 24, 3, 250
2007, 03, 09, 7.20, 20.90, 27, 4, 270
2007, 03, 10, 10.55, 21.33, 26, 3, 115
2007, 03, 11, 12.25, 22.10, 23, 3, 100
2007, 03, 12, 15.17, 22.15, 23, 5, 25
2007, 03, 13, 15.58, 21.54, 25, 6, 35
2007, 03, 14, 17.26, 20.55, 24, 7, 60
2007, 03, 15, 19.59, 18.52, 11, 5, 100
2007, 03, 16, 21.53, 18.49, 9, 3, 300
2007, 03, 17, 26.11, 17.70, 14, 5, 320
2007, 03, 18, 30.17, 17.41, 13, 3, 90
2007, 03, 19, 31.59, 21.51, 11, 4, 180
2007, 03, 20, 35.29, 22.36, 18, 12, 275
2007, 03, 21, 37.24, 23.39, 15, 5, 250
2007, 03, 22, 41.26, 24.56, 8, 8, 290
2007, 03, 23, 44.34, 25.45, 8, 3, 30
2007, 03, 24, 46.31, 26.43, 3, 4, 135
2007, 03, 25, 47.22, 27.26, 5, 2, 45
2007, 03, 26, 47.22, 27.20, 2, 2, 175
2007, 03, 27, 47.22, 27.20, 7, 4, 320
2007, 03, 28, 48.31, 26.54, 1, 2, 30
2007, 03, 29, 50.49, 26.20, 1, 2, 305
2007, 03, 30, 53.46, 25.32, 4, 1, 50
2007, 03, 31, 55.18, 26.12, 2, 2, 85
2007, 04, 01, 57.25, 27.28, 1, 3, 175
2007, 04, 02, 59.20, 27.47, 3, 4, 280
2007, 04, 09, 59.20, 27.47, -3, 2, 295
2007, 04, 16, 59.20, 27.47, 6, 5, 215
2007, 04, 23, 59.20, 27.47, 4, 4, 270
2007, 04, 30, 59.20, 27.47, 1, 6, 70
2007, 05, 07, 59.20, 27.47, 8, 4, 200
2007, 05, 14, 59.20, 27.47, 13, 6, 275
2007, 05, 21, 59.20, 27.47, 13, 3, 270
2007, 05, 28, 59.20, 27.47, 20, 3, 300
2007, 06, 04, 59.20, 27.47, 12, 2, 120
2007, 06, 11, 59.20, 27.47, 14, 4, 260
2007, 06, 18, 59.20, 27.47, 13, 5, 150
2007, 06, 25, 59.20, 27.47, 14, 7, 200
2007, 07, 02, 59.20, 27.47, 13, 2, 140
2007, 07, 09, 59.20, 27.47, 15, 6, 180
2007, 07, 16, 59.20, 27.47, 15, 4, 150
2007, 07, 23, 59.20, 27.47, 16, 4, 290
2007, 07, 30, 59.20, 27.47, 14, 9, 250
2007, 08, 06, 59.20, 27.47, 17, 3, 70
2007, 08, 13, 57.56, 28.37, 18, 2, 340
2007, 08, 14, 55.56, 28.29, 19, 2, 70
2007, 08, 15, 52.32, 28.31, 18, 4, 140
2007, 08, 16, 49.36, 28.52, 17, 1, 175
