month,day,temperature,wind_speed
1,1,24,2
1,2,24,2
1,3,24,2
1,4,24,2
1,5,24,2
1,6,24,2
1,7,24,2
1,8,23,1
1,9,23,1
1,10,23,1
1,11,23,1
1,12,23,1
1,13,23,1
1,14,23,1
1,15,24,1
1,16,24,1
1,17,24,1
1,18,24,1
1,19,24,1
1,20,24,1
1,21,24,1
1,22,23,1
1,23,23,1
1,24,23,1
1,25,23,1
1,26,23,1
1,27,23,1
1,28,23,1
1,29,24,1
1,30,24,1
1,31,24,1
2,1,24,1
2,2,24,1
2,3,24,1
2,4,24,1
2,5,26,2
2,6,26,2
2,7,26,2
2,8,26,2
2,9,26,2
2,10,26,2
2,11,26,2
2,12,26,3
2,13,26,3
2,14,26,3
2,15,26,3
2,16,26,3
2,17,26,3
2,18,26,3
2,19,25,1
2,20,25,1
2,21,25,1
2,22,25,1
2,23,25,1
2,24,25,1
2,25,25,1
2,26,24,2
2,27,24,2
2,28,24,2
2,29,24,2
2,30,24,2
3,1,24,2
3,2,24,2
3,3,24,2
3,4,24,2
3,5,24,2
3,6,24,2
3,7,24,2
3,8,24,2
3,9,24,2
3,10,24,2
3,11,24,2
3,12,23,2
3,13,23,2
3,14,23,2
3,15,23,2
3,16,23,2
3,17,23,2
3,18,23,2
3,19,25,1
3,20,26,3
3,21,25,1
3,22,23,2
3,23,24,1
3,24,24,1
3,25,25,1
3,26,25,1
3,27,27,2
3,28,33,1
3,29,27,2
3,30,26,3
3,31,27,4
4,1,27,3
4,2,23,2
4,3,21,2
4,4,20,2
4,5,22,7
4,6,19,6
4,7,13,2
4,8,10,5
4,9,15,5
4,10,13,2
4,11,10,2
4,12,12,4
4,13,13,3
4,14,7,2
4,15,9,1
4,16,10,2
4,17,4,5
4,18,4,5
4,19,4,5
4,20,4,5
4,21,4,5
4,22,4,5
4,23,5,5
4,24,5,5
4,25,5,5
4,26,5,5
4,27,5,5
4,28,5,5
4,29,5,5
4,30,9,6
5,1,9,6
5,2,9,6
5,3,9,6
5,4,9,6
5,5,9,6
5,6,9,6
5,7,11,3
5,8,11,3
5,9,11,3
5,10,11,3
5,11,11,3
5,12,11,3
5,13,11,3
5,14,16,2
5,15,16,2
5,16,16,2
5,17,16,2
5,18,16,2
5,19,16,2
5,20,16,2
5,21,16,3
5,22,16,3
5,23,16,3
5,24,16,3
5,25,16,3
5,26,16,3
5,27,16,3
5,28,15,3
5,29,15,3
5,30,15,3
5,31,15,3
6,1,15,3
6,2,15,3
6,3,15,3
6,4,10,6
6,5,10,6
6,6,10,6
6,7,10,6
6,8,10,6
6,9,10,6
6,10,10,6
6,11,16,3
6,12,16,3
6,13,16,3
6,14,16,3
6,15,16,3
6,16,16,3
6,17,16,3
6,18,15,4
6,19,15,4
6,20,15,4
6,21,15,4
6,22,15,4
6,23,15,4
6,24,15,4
6,25,14,2
6,26,14,2
6,27,14,2
6,28,14,2
6,29,14,2
6,30,14,2
7,1,14,2
7,2,12,1
7,3,12,1
7,4,12,1
7,5,12,1
7,6,12,1
7,7,12,1
7,8,12,1
7,9,16,1
7,10,16,1
7,11,16,1
7,12,16,1
7,13,16,1
7,14,16,1
7,15,16,1
7,16,21,4
7,17,21,4
