month, day, latitude, longitude, temperature, wind_speed, wind_direction
01, 01, -5.19, 13.36, 24, 2, 180
01, 08, -5.19, 13.36, 23, 1, 0
01, 15, -5.19, 13.36, 24, 1, 210
01, 22, -5.19, 13.36, 23, 1, 270
01, 29, -5.19, 13.36, 24, 1, 180
02, 05, -5.19, 13.36, 26, 2, 195
02, 12, -5.19, 13.36, 26, 3, 225 
02, 19, -5.19, 13.36, 25, 1, 270
02, 26, -5.19, 13.36, 24, 2, 175
03, 05, -5.19, 13.36, 24, 2, 205
03, 12, -5.19, 13.36, 23, 2, 230
03, 19, -5.19, 13.36, 25, 1, 200
03, 20, -5.19, 13.16, 26, 3, 205
03, 21, -4.12, 13.48, 25, 1, 200
03, 22, -2.22, 14.20, 23, 2, 220
03, 23, 0.16, 14.44, 24, 1, 35
03, 24, 2.50, 15.19, 24, 1, 260
03, 25, 5.28, 15.09, 25, 1, 235
03, 26, 6.04, 15.16, 25, 1, 240
03, 27, 7.36, 15.28, 27, 2, 210
03, 28, 9.35, 16.34, 33, 1, 0
03, 29, 10.19, 16.51, 27, 2, 85
03, 30, 11.49, 16.33, 26, 3, 60
03, 31, 13.01, 15.38, 27, 4, 60
04, 01, 14.55, 12.37, 27, 3, 30
04, 02, 16.58, 10.25, 23, 2, 250
04, 03, 20.44, 9.42, 21, 2, 25
04, 04, 23.26, 9.40, 20, 2, 70
04, 05, 27.53, 8.25, 22, 7, 0
04, 06, 32.00, 8.09, 19, 6, 240
04, 07, 35.51, 7.00, 13, 2, 300
04, 08, 39.18, 8.44, 10, 5, 180
04, 09, 41.56, 11.48, 15, 5, 290
04, 10, 44.47, 13.29, 13, 2, 350
04, 11, 48.52, 16.32, 10, 2, 10
04, 12, 52.18, 16.50, 12, 4, 350
04, 13, 54.45, 17.34, 13, 3, 305
04, 14, 56.29, 21.45, 7, 2, 260
04, 15, 57.50, 26.01, 9, 1, 110
04, 16, 58.20, 27.39, 10, 2, 260
04, 17, 58.20, 27.39, 4, 5, 170
04, 23, 58.20, 27.39, 5, 5, 310
04, 30, 58.20, 27.39, 9, 6, 355
05, 07, 58.20, 27.39, 11, 3, 160
05, 14, 58.20, 27.39, 16, 2, 50
05, 21, 58.20, 27.39, 16, 3, 310
05, 28, 58.20, 27.39, 15, 3, 290
06, 04, 58.20, 27.39, 10, 6, 150
06, 11, 58.20, 27.39, 16, 3, 200
06, 18, 58.20, 27.39, 15, 4, 225
06, 25, 58.20, 27.39, 14, 2, 290
07, 02, 58.20, 27.39, 12, 1, 250
07, 09, 58.20, 27.39, 16, 1, 90
07, 16, 58.20, 27.39, 21, 4, 20
07, 23, 58.20, 27.39, 20, 2, 330
07, 30, 58.20, 27.39, 21, 3, 320
08, 06, 58.20, 27.39, 17, 5, 170
08, 13, 58.20, 27.39, 13, 3, 210
08, 20, 58.20, 27.39, 15, 6, 165
08, 25, 58.20, 27.39, 15, 2, 165
08, 26, 56.18, 28.16, 14, 2, 140
08, 27, 54.48, 28.34, 14, 2, 90
08, 28, 53.13, 30.14, 15, 2, 140
08, 29, 50.38, 31.49, 15, 3, 115
08, 30, 47.33, 32.36, 17, 2, 120
08, 31, 46.09, 33.01, 23, 3, 85
09, 01, 46.09, 33.01, 21, 4, 30
09, 03, 46.09, 33.01, 21, 4, 20
09, 10, 46.09, 33.01, 18, 2, 250
09, 11, 46.09, 33.01, 19, 2, 300
09, 12, 44.57, 29.21, 17, 2, 5
09, 13, 41.03, 26.33, 16, 1, 195
09, 14, 37.39, 26.09, 22, 2, 115
09, 15, 29.39, 28.39, 22, 1, 145
09, 16, 23.41, 29.04, 26, 4, 110
09, 17, 18.55, 26.26, 26, 5, 65
09, 18, 14.18, 23.28, 22, 2, 40
09, 19, 11.59, 21.57, 24, 0, 0
09, 20, 9.59, 20.42, 24, 2, 280
09, 21, 7.37, 19.40, 24, 2, 210
09, 22, 4.56, 18.47, 23, 1, 250
09, 23, 3.22, 18.05, 23, 1, 0
09, 24, 2.08, 17.11, 21, 1, 165
09, 25, -0.06, 15.49, 23, 2, 210
09, 26, -2.30, 13.43, 22, 2, 205
09, 27, -4.12, 14.13, 22, 1, 235
09, 28, -4.11, 14.06, 24, 2, 190
09, 29, -4.23, 14.02, 22, 3, 245
09, 30, -4.32, 13.59, 22, 2, 230
10, 01, -4.43, 13.54, 22, 2, 230
10, 02, -4.48, 13.50, 23, 1, 220
10, 03, -4.55, 13.44, 21, 2, 235
10, 04, -5.06, 13.39, 22, 2, 215
10, 05, -5.17, 13.36, 23, 2, 225
10, 06, -5.17, 13.26, 22, 2, 180
10, 08, -5.17, 13.26, 23, 2, 230
10, 15, -5.17, 13.26, 23, 2, 210
10, 22, -5.17, 13.26, 25, 1, 270
10, 29, -5.17, 13.26, 24, 2, 185
11, 05, -5.17, 13.26, 24, 2, 215
11, 12, -5.17, 13.26, 24, 2, 200
11, 19, -5.17, 13.26, 24, 2, 250
11, 26, -5.17, 13.26, 25, 2, 195
12, 03, -5.17, 13.26, 24, 1, 170
12, 10, -5.17, 13.26, 24, 2, 180
12, 17, -5.17, 13.26, 23, 0, 0
12, 24, -5.17, 13.26, 25, 2, 210
12, 31, -5.17, 13.26, 24, 1, 30 
